workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,frame_samples,payload_bits,payload_seed,noise_seed,replay_seed,optimizer_seed,bit_errors,success,decode_failure,partial_fft_parts,partial_fft_bands
red4:lane2:snr0.0:seed4:frame37,0.0,37,cwz_joint,awgn,0.0,47.78125,3522,36.677083333333336,37.5859375,0.8666666666666667,8320,3296,40,40,40,4,1338,false,false,4,16
red4:lane2:snr0.0:seed4:frame38,0.0,38,cwz_joint,awgn,0.0,47.78125,3620,37.697916666666664,38.60677083333333,0.8666666666666667,8320,3296,41,41,41,4,1254,false,false,4,16
red4:lane2:snr0.0:seed4:frame39,0.0,39,cwz_joint,awgn,0.0,47.78125,3718,38.71875,39.627604166666664,0.8666666666666667,8320,3296,42,42,42,4,1328,false,false,4,16
red4:lane2:snr0.0:seed4:frame40,0.0,40,cwz_joint,awgn,0.0,47.78125,3815,39.729166666666664,40.63802083333333,0.8666666666666667,8320,3296,43,43,43,4,1196,false,false,4,16
red4:lane2:snr0.0:seed4:frame41,0.0,41,cwz_joint,awgn,0.0,47.78125,3913,40.75,41.658854166666664,0.8666666666666667,8320,3296,44,44,44,4,1246,false,false,4,16
red4:lane2:snr0.0:seed4:frame42,0.0,42,cwz_joint,awgn,0.0,47.78125,4011,41.770833333333336,42.6796875,0.8666666666666667,8320,3296,45,45,45,4,1066,false,false,4,16
red4:lane2:snr0.0:seed4:frame43,0.0,43,cwz_joint,awgn,0.0,47.78125,4109,42.791666666666664,43.70052083333333,0.8666666666666667,8320,3296,46,46,46,4,1215,false,false,4,16
red4:lane2:snr0.0:seed4:frame44,0.0,44,cwz_joint,awgn,0.0,47.78125,4207,43.8125,44.721354166666664,0.8666666666666667,8320,3296,47,47,47,4,1118,false,false,4,16
red4:lane2:snr0.0:seed4:frame45,0.0,45,cwz_joint,awgn,0.0,47.78125,4304,44.822916666666664,45.73177083333333,0.8666666666666667,8320,3296,48,48,48,4,1122,false,false,4,16
red4:lane2:snr0.0:seed4:frame46,0.0,46,cwz_joint,awgn,0.0,47.78125,4402,45.84375,46.752604166666664,0.8666666666666667,8320,3296,49,49,49,4,1106,false,false,4,16
red4:lane2:snr0.0:seed4:frame47,0.0,47,cwz_joint,awgn,0.0,47.78125,4500,46.864583333333336,47.7734375,0.8666666666666667,8320,3296,50,50,50,4,1306,false,false,4,16
red4:lane2:snr0.0:seed4:frame1,0.0,1,lite,awgn,0.0,47.78125,1,0.0,0.9088541666666666,0.8666666666666667,8320,3296,4,4,4,4,1145,false,false,4,16
red4:lane2:snr0.0:seed4:frame2,0.0,2,lite,awgn,0.0,47.78125,99,1.0208333333333333,1.9296875,0.8666666666666667,8320,3296,5,5,5,4,1171,false,false,4,16
red4:lane2:snr0.0:seed4:frame3,0.0,3,lite,awgn,0.0,47.78125,197,2.0416666666666665,2.950520833333333,0.8666666666666667,8320,3296,6,6,6,4,1251,false,false,4,16
red4:lane2:snr0.0:seed4:frame4,0.0,4,lite,awgn,0.0,47.78125,294,3.0520833333333335,3.9609375,0.8666666666666667,8320,3296,7,7,7,4,1138,false,false,4,16
red4:lane2:snr0.0:seed4:frame5,0.0,5,lite,awgn,0.0,47.78125,392,4.072916666666667,4.981770833333334,0.8666666666666667,8320,3296,8,8,8,4,1175,false,false,4,16
red4:lane2:snr0.0:seed4:frame6,0.0,6,lite,awgn,0.0,47.78125,490,5.09375,6.002604166666667,0.8666666666666667,8320,3296,9,9,9,4,1230,false,false,4,16
red4:lane2:snr0.0:seed4:frame7,0.0,7,lite,awgn,0.0,47.78125,588,6.114583333333333,7.0234375,0.8666666666666667,8320,3296,10,10,10,4,1221,false,false,4,16
red4:lane2:snr0.0:seed4:frame8,0.0,8,lite,awgn,0.0,47.78125,686,7.135416666666667,8.044270833333334,0.8666666666666667,8320,3296,11,11,11,4,1264,false,false,4,16
red4:lane2:snr0.0:seed4:frame9,0.0,9,lite,awgn,0.0,47.78125,783,8.145833333333334,9.0546875,0.8666666666666667,8320,3296,12,12,12,4,1150,false,false,4,16
red4:lane2:snr0.0:seed4:frame10,0.0,10,lite,awgn,0.0,47.78125,881,9.166666666666666,10.075520833333332,0.8666666666666667,8320,3296,13,13,13,4,1227,false,false,4,16
red4:lane2:snr0.0:seed4:frame11,0.0,11,lite,awgn,0.0,47.78125,979,10.1875,11.096354166666666,0.8666666666666667,8320,3296,14,14,14,4,1132,false,false,4,16
red4:lane2:snr0.0:seed4:frame12,0.0,12,lite,awgn,0.0,47.78125,1077,11.208333333333334,12.1171875,0.8666666666666667,8320,3296,15,15,15,4,1240,false,false,4,16
red4:lane2:snr0.0:seed4:frame13,0.0,13,lite,awgn,0.0,47.78125,1175,12.229166666666666,13.138020833333332,0.8666666666666667,8320,3296,16,16,16,4,1130,false,false,4,16
red4:lane2:snr0.0:seed4:frame14,0.0,14,lite,awgn,0.0,47.78125,1272,13.239583333333334,14.1484375,0.8666666666666667,8320,3296,17,17,17,4,1179,false,false,4,16
red4:lane2:snr0.0:seed4:frame15,0.0,15,lite,awgn,0.0,47.78125,1370,14.260416666666666,15.169270833333332,0.8666666666666667,8320,3296,18,18,18,4,1222,false,false,4,16
red4:lane2:snr0.0:seed4:frame16,0.0,16,lite,awgn,0.0,47.78125,1468,15.28125,16.190104166666668,0.8666666666666667,8320,3296,19,19,19,4,1229,false,false,4,16
red4:lane2:snr0.0:seed4:frame17,0.0,17,lite,awgn,0.0,47.78125,1566,16.302083333333332,17.2109375,0.8666666666666667,8320,3296,20,20,20,4,1115,false,false,4,16
red4:lane2:snr0.0:seed4:frame18,0.0,18,lite,awgn,0.0,47.78125,1664,17.322916666666668,18.231770833333336,0.8666666666666667,8320,3296,21,21,21,4,1149,false,false,4,16
red4:lane2:snr0.0:seed4:frame19,0.0,19,lite,awgn,0.0,47.78125,1761,18.333333333333332,19.2421875,0.8666666666666667,8320,3296,22,22,22,4,1214,false,false,4,16
red4:lane2:snr0.0:seed4:frame20,0.0,20,lite,awgn,0.0,47.78125,1859,19.354166666666668,20.263020833333336,0.8666666666666667,8320,3296,23,23,23,4,1164,false,false,4,16
red4:lane2:snr0.0:seed4:frame21,0.0,21,lite,awgn,0.0,47.78125,1957,20.375,21.283854166666668,0.8666666666666667,8320,3296,24,24,24,4,1145,false,false,4,16
red4:lane2:snr0.0:seed4:frame22,0.0,22,lite,awgn,0.0,47.78125,2055,21.395833333333332,22.3046875,0.8666666666666667,8320,3296,25,25,25,4,1170,false,false,4,16
red4:lane2:snr0.0:seed4:frame23,0.0,23,lite,awgn,0.0,47.78125,2153,22.416666666666668,23.325520833333336,0.8666666666666667,8320,3296,26,26,26,4,1197,false,false,4,16
red4:lane2:snr0.0:seed4:frame24,0.0,24,lite,awgn,0.0,47.78125,2250,23.427083333333332,24.3359375,0.8666666666666667,8320,3296,27,27,27,4,1268,false,false,4,16
red4:lane2:snr0.0:seed4:frame25,0.0,25,lite,awgn,0.0,47.78125,2348,24.447916666666668,25.356770833333336,0.8666666666666667,8320,3296,28,28,28,4,1170,false,false,4,16
red4:lane2:snr0.0:seed4:frame26,0.0,26,lite,awgn,0.0,47.78125,2446,25.46875,26.377604166666668,0.8666666666666667,8320,3296,29,29,29,4,1179,false,false,4,16
red4:lane2:snr0.0:seed4:frame27,0.0,27,lite,awgn,0.0,47.78125,2544,26.489583333333332,27.3984375,0.8666666666666667,8320,3296,30,30,30,4,1163,false,false,4,16
red4:lane2:snr0.0:seed4:frame28,0.0,28,lite,awgn,0.0,47.78125,2642,27.510416666666668,28.419270833333336,0.8666666666666667,8320,3296,31,31,31,4,1091,false,false,4,16
red4:lane2:snr0.0:seed4:frame29,0.0,29,lite,awgn,0.0,47.78125,2740,28.53125,29.440104166666668,0.8666666666666667,8320,3296,32,32,32,4,1235,false,false,4,16
red4:lane2:snr0.0:seed4:frame30,0.0,30,lite,awgn,0.0,47.78125,2837,29.541666666666668,30.450520833333336,0.8666666666666667,8320,3296,33,33,33,4,1139,false,false,4,16
red4:lane2:snr0.0:seed4:frame31,0.0,31,lite,awgn,0.0,47.78125,2935,30.5625,31.471354166666668,0.8666666666666667,8320,3296,34,34,34,4,1197,false,false,4,16
red4:lane2:snr0.0:seed4:frame32,0.0,32,lite,awgn,0.0,47.78125,3033,31.583333333333332,32.4921875,0.8666666666666667,8320,3296,35,35,35,4,1090,false,false,4,16
red4:lane2:snr0.0:seed4:frame33,0.0,33,lite,awgn,0.0,47.78125,3131,32.604166666666664,33.51302083333333,0.8666666666666667,8320,3296,36,36,36,4,1232,false,false,4,16
red4:lane2:snr0.0:seed4:frame34,0.0,34,lite,awgn,0.0,47.78125,3229,33.625,34.533854166666664,0.8666666666666667,8320,3296,37,37,37,4,1142,false,false,4,16
red4:lane2:snr0.0:seed4:frame35,0.0,35,lite,awgn,0.0,47.78125,3326,34.635416666666664,35.54427083333333,0.8666666666666667,8320,3296,38,38,38,4,1210,false,false,4,16
red4:lane2:snr0.0:seed4:frame36,0.0,36,lite,awgn,0.0,47.78125,3424,35.65625,36.565104166666664,0.8666666666666667,8320,3296,39,39,39,4,1206,false,false,4,16
red4:lane2:snr0.0:seed4:frame37,0.0,37,lite,awgn,0.0,47.78125,3522,36.677083333333336,37.5859375,0.8666666666666667,8320,3296,40,40,40,4,1114,false,false,4,16
red4:lane2:snr0.0:seed4:frame38,0.0,38,lite,awgn,0.0,47.78125,3620,37.697916666666664,38.60677083333333,0.8666666666666667,8320,3296,41,41,41,4,1140,false,false,4,16
red4:lane2:snr0.0:seed4:frame39,0.0,39,lite,awgn,0.0,47.78125,3718,38.71875,39.627604166666664,0.8666666666666667,8320,3296,42,42,42,4,1202,false,false,4,16
red4:lane2:snr0.0:seed4:frame40,0.0,40,lite,awgn,0.0,47.78125,3815,39.729166666666664,40.63802083333333,0.8666666666666667,8320,3296,43,43,43,4,1165,false,false,4,16
red4:lane2:snr0.0:seed4:frame41,0.0,41,lite,awgn,0.0,47.78125,3913,40.75,41.658854166666664,0.8666666666666667,8320,3296,44,44,44,4,1192,false,false,4,16
red4:lane2:snr0.0:seed4:frame42,0.0,42,lite,awgn,0.0,47.78125,4011,41.770833333333336,42.6796875,0.8666666666666667,8320,3296,45,45,45,4,1189,false,false,4,16
red4:lane2:snr0.0:seed4:frame43,0.0,43,lite,awgn,0.0,47.78125,4109,42.791666666666664,43.70052083333333,0.8666666666666667,8320,3296,46,46,46,4,1223,false,false,4,16
red4:lane2:snr0.0:seed4:frame44,0.0,44,lite,awgn,0.0,47.78125,4207,43.8125,44.721354166666664,0.8666666666666667,8320,3296,47,47,47,4,1138,false,false,4,16
red4:lane2:snr0.0:seed4:frame45,0.0,45,lite,awgn,0.0,47.78125,4304,44.822916666666664,45.73177083333333,0.8666666666666667,8320,3296,48,48,48,4,1274,false,false,4,16
red4:lane2:snr0.0:seed4:frame46,0.0,46,lite,awgn,0.0,47.78125,4402,45.84375,46.752604166666664,0.8666666666666667,8320,3296,49,49,49,4,1160,false,false,4,16
red4:lane2:snr0.0:seed4:frame47,0.0,47,lite,awgn,0.0,47.78125,4500,46.864583333333336,47.7734375,0.8666666666666667,8320,3296,50,50,50,4,1296,false,false,4,16
red4:lane2:snr0.0:seed4:frame1,0.0,1,ofdm_fec,awgn,0.0,47.78125,1,0.0,0.9088541666666666,0.8666666666666667,8320,3296,4,4,4,4,1011,false,false,4,16
red4:lane2:snr0.0:seed4:frame2,0.0,2,ofdm_fec,awgn,0.0,47.78125,99,1.0208333333333333,1.9296875,0.8666666666666667,8320,3296,5,5,5,4,1031,false,false,4,16
red4:lane2:snr0.0:seed4:frame3,0.0,3,ofdm_fec,awgn,0.0,47.78125,197,2.0416666666666665,2.950520833333333,0.8666666666666667,8320,3296,6,6,6,4,1094,false,false,4,16
red4:lane2:snr0.0:seed4:frame4,0.0,4,ofdm_fec,awgn,0.0,47.78125,294,3.0520833333333335,3.9609375,0.8666666666666667,8320,3296,7,7,7,4,1166,false,false,4,16
red4:lane2:snr0.0:seed4:frame5,0.0,5,ofdm_fec,awgn,0.0,47.78125,392,4.072916666666667,4.981770833333334,0.8666666666666667,8320,3296,8,8,8,4,1120,false,false,4,16
red4:lane2:snr0.0:seed4:frame6,0.0,6,ofdm_fec,awgn,0.0,47.78125,490,5.09375,6.002604166666667,0.8666666666666667,8320,3296,9,9,9,4,1200,false,false,4,16
red4:lane2:snr0.0:seed4:frame7,0.0,7,ofdm_fec,awgn,0.0,47.78125,588,6.114583333333333,7.0234375,0.8666666666666667,8320,3296,10,10,10,4,1304,false,false,4,16
red4:lane2:snr0.0:seed4:frame8,0.0,8,ofdm_fec,awgn,0.0,47.78125,686,7.135416666666667,8.044270833333334,0.8666666666666667,8320,3296,11,11,11,4,1361,false,false,4,16
red4:lane2:snr0.0:seed4:frame9,0.0,9,ofdm_fec,awgn,0.0,47.78125,783,8.145833333333334,9.0546875,0.8666666666666667,8320,3296,12,12,12,4,1195,false,false,4,16
red4:lane2:snr0.0:seed4:frame10,0.0,10,ofdm_fec,awgn,0.0,47.78125,881,9.166666666666666,10.075520833333332,0.8666666666666667,8320,3296,13,13,13,4,1281,false,false,4,16
red4:lane2:snr0.0:seed4:frame11,0.0,11,ofdm_fec,awgn,0.0,47.78125,979,10.1875,11.096354166666666,0.8666666666666667,8320,3296,14,14,14,4,1331,false,false,4,16
red4:lane2:snr0.0:seed4:frame12,0.0,12,ofdm_fec,awgn,0.0,47.78125,1077,11.208333333333334,12.1171875,0.8666666666666667,8320,3296,15,15,15,4,1265,false,false,4,16
red4:lane2:snr0.0:seed4:frame13,0.0,13,ofdm_fec,awgn,0.0,47.78125,1175,12.229166666666666,13.138020833333332,0.8666666666666667,8320,3296,16,16,16,4,1055,false,false,4,16
red4:lane2:snr0.0:seed4:frame14,0.0,14,ofdm_fec,awgn,0.0,47.78125,1272,13.239583333333334,14.1484375,0.8666666666666667,8320,3296,17,17,17,4,1225,false,false,4,16
red4:lane2:snr0.0:seed4:frame15,0.0,15,ofdm_fec,awgn,0.0,47.78125,1370,14.260416666666666,15.169270833333332,0.8666666666666667,8320,3296,18,18,18,4,1146,false,false,4,16
red4:lane2:snr0.0:seed4:frame16,0.0,16,ofdm_fec,awgn,0.0,47.78125,1468,15.28125,16.190104166666668,0.8666666666666667,8320,3296,19,19,19,4,1297,false,false,4,16
red4:lane2:snr0.0:seed4:frame17,0.0,17,ofdm_fec,awgn,0.0,47.78125,1566,16.302083333333332,17.2109375,0.8666666666666667,8320,3296,20,20,20,4,1123,false,false,4,16
red4:lane2:snr0.0:seed4:frame18,0.0,18,ofdm_fec,awgn,0.0,47.78125,1664,17.322916666666668,18.231770833333336,0.8666666666666667,8320,3296,21,21,21,4,1337,false,false,4,16
red4:lane2:snr0.0:seed4:frame19,0.0,19,ofdm_fec,awgn,0.0,47.78125,1761,18.333333333333332,19.2421875,0.8666666666666667,8320,3296,22,22,22,4,1209,false,false,4,16
red4:lane2:snr0.0:seed4:frame20,0.0,20,ofdm_fec,awgn,0.0,47.78125,1859,19.354166666666668,20.263020833333336,0.8666666666666667,8320,3296,23,23,23,4,1113,false,false,4,16
red4:lane2:snr0.0:seed4:frame21,0.0,21,ofdm_fec,awgn,0.0,47.78125,1957,20.375,21.283854166666668,0.8666666666666667,8320,3296,24,24,24,4,1219,false,false,4,16
red4:lane2:snr0.0:seed4:frame22,0.0,22,ofdm_fec,awgn,0.0,47.78125,2055,21.395833333333332,22.3046875,0.8666666666666667,8320,3296,25,25,25,4,1200,false,false,4,16
red4:lane2:snr0.0:seed4:frame23,0.0,23,ofdm_fec,awgn,0.0,47.78125,2153,22.416666666666668,23.325520833333336,0.8666666666666667,8320,3296,26,26,26,4,1138,false,false,4,16
red4:lane2:snr0.0:seed4:frame24,0.0,24,ofdm_fec,awgn,0.0,47.78125,2250,23.427083333333332,24.3359375,0.8666666666666667,8320,3296,27,27,27,4,1290,false,false,4,16
red4:lane2:snr0.0:seed4:frame25,0.0,25,ofdm_fec,awgn,0.0,47.78125,2348,24.447916666666668,25.356770833333336,0.8666666666666667,8320,3296,28,28,28,4,1170,false,false,4,16
red4:lane2:snr0.0:seed4:frame26,0.0,26,ofdm_fec,awgn,0.0,47.78125,2446,25.46875,26.377604166666668,0.8666666666666667,8320,3296,29,29,29,4,1297,false,false,4,16
red4:lane2:snr0.0:seed4:frame27,0.0,27,ofdm_fec,awgn,0.0,47.78125,2544,26.489583333333332,27.3984375,0.8666666666666667,8320,3296,30,30,30,4,1080,false,false,4,16
red4:lane2:snr0.0:seed4:frame28,0.0,28,ofdm_fec,awgn,0.0,47.78125,2642,27.510416666666668,28.419270833333336,0.8666666666666667,8320,3296,31,31,31,4,1078,false,false,4,16
red4:lane2:snr0.0:seed4:frame29,0.0,29,ofdm_fec,awgn,0.0,47.78125,2740,28.53125,29.440104166666668,0.8666666666666667,8320,3296,32,32,32,4,1217,false,false,4,16
red4:lane2:snr0.0:seed4:frame30,0.0,30,ofdm_fec,awgn,0.0,47.78125,2837,29.541666666666668,30.450520833333336,0.8666666666666667,8320,3296,33,33,33,4,1220,false,false,4,16
red4:lane2:snr0.0:seed4:frame31,0.0,31,ofdm_fec,awgn,0.0,47.78125,2935,30.5625,31.471354166666668,0.8666666666666667,8320,3296,34,34,34,4,1101,false,false,4,16
red4:lane2:snr0.0:seed4:frame32,0.0,32,ofdm_fec,awgn,0.0,47.78125,3033,31.583333333333332,32.4921875,0.8666666666666667,8320,3296,35,35,35,4,1276,false,false,4,16
red4:lane2:snr0.0:seed4:frame33,0.0,33,ofdm_fec,awgn,0.0,47.78125,3131,32.604166666666664,33.51302083333333,0.8666666666666667,8320,3296,36,36,36,4,1173,false,false,4,16
red4:lane2:snr0.0:seed4:frame34,0.0,34,ofdm_fec,awgn,0.0,47.78125,3229,33.625,34.533854166666664,0.8666666666666667,8320,3296,37,37,37,4,1162,false,false,4,16
red4:lane2:snr0.0:seed4:frame35,0.0,35,ofdm_fec,awgn,0.0,47.78125,3326,34.635416666666664,35.54427083333333,0.8666666666666667,8320,3296,38,38,38,4,1235,false,false,4,16
red4:lane2:snr0.0:seed4:frame36,0.0,36,ofdm_fec,awgn,0.0,47.78125,3424,35.65625,36.565104166666664,0.8666666666666667,8320,3296,39,39,39,4,1118,false,false,4,16
red4:lane2:snr0.0:seed4:frame37,0.0,37,ofdm_fec,awgn,0.0,47.78125,3522,36.677083333333336,37.5859375,0.8666666666666667,8320,3296,40,40,40,4,1338,false,false,4,16
red4:lane2:snr0.0:seed4:frame38,0.0,38,ofdm_fec,awgn,0.0,47.78125,3620,37.697916666666664,38.60677083333333,0.8666666666666667,8320,3296,41,41,41,4,1254,false,false,4,16
red4:lane2:snr0.0:seed4:frame39,0.0,39,ofdm_fec,awgn,0.0,47.78125,3718,38.71875,39.627604166666664,0.8666666666666667,8320,3296,42,42,42,4,1328,false,false,4,16
red4:lane2:snr0.0:seed4:frame40,0.0,40,ofdm_fec,awgn,0.0,47.78125,3815,39.729166666666664,40.63802083333333,0.8666666666666667,8320,3296,43,43,43,4,1196,false,false,4,16
red4:lane2:snr0.0:seed4:frame41,0.0,41,ofdm_fec,awgn,0.0,47.78125,3913,40.75,41.658854166666664,0.8666666666666667,8320,3296,44,44,44,4,1246,false,false,4,16
red4:lane2:snr0.0:seed4:frame42,0.0,42,ofdm_fec,awgn,0.0,47.78125,4011,41.770833333333336,42.6796875,0.8666666666666667,8320,3296,45,45,45,4,1066,false,false,4,16
red4:lane2:snr0.0:seed4:frame43,0.0,43,ofdm_fec,awgn,0.0,47.78125,4109,42.791666666666664,43.70052083333333,0.8666666666666667,8320,3296,46,46,46,4,1215,false,false,4,16
red4:lane2:snr0.0:seed4:frame44,0.0,44,ofdm_fec,awgn,0.0,47.78125,4207,43.8125,44.721354166666664,0.8666666666666667,8320,3296,47,47,47,4,1118,false,false,4,16
red4:lane2:snr0.0:seed4:frame45,0.0,45,ofdm_fec,awgn,0.0,47.78125,4304,44.822916666666664,45.73177083333333,0.8666666666666667,8320,3296,48,48,48,4,1122,false,false,4,16
red4:lane2:snr0.0:seed4:frame46,0.0,46,ofdm_fec,awgn,0.0,47.78125,4402,45.84375,46.752604166666664,0.8666666666666667,8320,3296,49,49,49,4,1106,false,false,4,16
